BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
277,DISCRETE MATHEMATICS FOR COMPUTER SCIENTISTS,JOHN TRUSS,,295.00,2008-02-07,YES,,,
278,CONTROL SYSTEMS ENGINEERING,I.J.NAGRATH M GOPAL,,375.00,2008-02-07,YES,,,
279,CONTROL SYSTEMS ENGINEERING,I.J.NAGRATH M GOPAL,,375.00,2008-02-07,YES,,,
280,DIGITAL FUNDAMENTALS,FLOYD & JAIN,,350.00,2008-02-07,YES,,,
281,DIGITAL FUNDAMENTALS,FLOYD & JAIN,,350.00,2008-02-07,YES,,,
282,DIGITAL FUNDAMENTALS,FLOYD & JAIN,,350.00,2008-02-07,YES,,,
283,DISCRETE MATHEMATICS & ITS APPLICATIONS,ROSEN,,395.00,2008-02-07,YES,,,
284,DISCRETE MATHEMATICS & ITS APPLICATIONS,ROSEN,,395.00,2008-02-07,YES,,,
285,DISCRETE MATHEMATICS & ITS APPLICATIONS,ROSEN,,395.00,2008-02-07,YES,,,
286,COMPUTER ARCHITECTURE A Q.A,"JOHN L.HENNESSY, DAVID A PATTER SON",,450.00,2008-02-07,YES,,,
287,COMPUTER ARCHITECTURE A Q.A,"JOHN L.HENNESSY, DAVID A PATTER SON",,450.00,2008-02-07,YES,,,
288,COMPUTER ARCHITECTURE A Q.A,"JOHN L.HENNESSY, DAVID A PATTER SON",,450.00,2008-02-07,YES,,,
289,TOPICS IN ALGEBRA,I.N.HERSTERN,,299.00,2008-02-07,YES,,,
290,TOPICS IN ALGEBRA,I.N.HERSTERN,,299.00,2008-02-07,YES,,,
291,TOPICS IN ALGEBRA,I.N.HERSTERN,,299.00,2008-02-07,YES,,,
292,FUNDAMENTALS OF COMPUTER ALGORITHMS,"ELLIS HOROWITZ, SARTAJ SAHNI, SANGATHEVAR",,375.00,2008-02-07,YES,,,
293,FUNDAMENTALS OF COMPUTER ALGORITHMS,"ELLIS HOROWITZ, SARTAJ SAHNI, SANGATHEVAR",,375.00,2008-02-07,YES,,,
294,FUNDAMENTALS OF COMPUTER ALGORITHMS,"ELLIS HOROWITZ, SARTAJ SAHNI, SANGATHEVAR",,375.00,2008-02-07,YES,,,
295,SWITCHING & FINITE AUTOMATA THEORY,"ELLIS HOROWITZ, SARTAJ SAHNI, SANGATHEVAR",,240.00,2008-02-07,YES,,,
296,MICROPROCESSORS AND INTERFACING,DOUGLES V HALL,,340.00,2008-02-07,YES,,,
297,MICROPROCESSORS AND INTERFACING,DOUGLES V HALL,,340.00,2008-02-07,YES,,,
298,"DATASTRUCTURES, ALGORITHMS & APPLICATIONS IN C++",SARTAJ SAHNI,,350.00,2008-02-07,YES,,,
299,"DATASTRUCTURES, ALGORITHMS & APPLICATIONS IN C++",SARTAJ SAHNI,,350.00,2008-02-07,YES,,,
300,IBM PC ASSEMBLY LANGUAGE & PROGRAMMING,SARTAJ SAHNI,,275.00,2008-02-07,YES,,,
301,IBM PC ASSEMBLY LANGUAGE & PROGRAMMING,SARTAJ SAHNI,,275.00,2008-02-07,YES,,,
302,COMPILER DESIGN IN C,ALLEN I HOLLUB,,395.00,2008-02-07,YES,,,
303,COMPILER DESIGN IN C,ALLEN I HOLLUB,,395.00,2008-02-07,YES,,,
304,INTRODUCTION TO ALGORITHMS,"THOMAS H CORMAN, CHARLES E.LEISERSON, RONALD L RIVEST",,350.00,2008-02-07,YES,,,
305,INTRODUCTION TO ALGORITHMS,"THOMAS H CORMAN, CHARLES E.LEISERSON, RONALD L RIVEST",,350.00,2008-02-07,YES,,,
306,INTRODUCTION TO ALGORITHMS,"THOMAS H CORMAN, CHARLES E.LEISERSON, RONALD L RIVEST",,350.00,2008-02-07,YES,,,
307,CRYPTOGRAPHY AND NETWORK SECURITY PRINCIPLES & PRACTICE,WILLIAM STALLINGS,,280.00,2008-02-07,YES,,,
308,CRYPTOGRAPHY AND NETWORK SECURITY PRINCIPLES & PRACTICE,WILLIAM STALLINGS,,280.00,2008-02-07,YES,,,
309,COMPUTER NETWORKS & INTERNETS WITH INTERNET APPLICATIONS,DOUGLAS E.COMER,,350.00,2008-02-07,YES,,,
310,COMPUTER NETWORKS & INTERNETS WITH INTERNET APPLICATIONS,DOUGLAS E.COMER,,350.00,2008-02-07,YES,,,
311,PRACTICAL CRYPTOGRAPHY,"BRUCE SCHEREIER, NIELS FERGUSON",,329.00,2008-02-07,YES,,,
312,PRACTICAL CRYPTOGRAPHY,"BRUCE SCHEREIER, NIELS FERGUSON",,329.00,2008-02-07,YES,,,
313,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A.FOROUAN,,350.00,2008-02-07,YES,,,
314,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A.FOROUAN,,350.00,2008-02-07,YES,,,
